1	258	802	432	543	775
2	188	553	399	645	498
3	68	796	628	324	658
4	153	465	536	780	579
5	107	652	475	476	275
6	231	588	551	293	391
7	87	509	603	815	682
8	256	728	724	751	447
9	93	526	732	299	798
10	228	645	350	313	509
11	26	808	694	539	350
12	211	343	279	378	551
13	43	312	782	357	771
14	267	490	773	434	558
15	41	635	396	679	736
16	187	744	622	749	575
17	262	698	678	692	314
18	78	324	445	427	303
19	209	456	486	584	385
20	102	294	394	776	313
21	32	507	560	740	571
22	155	297	300	325	380
23	25	517	762	685	789
24	233	609	400	442	420
25	142	814	327	468	306
26	120	302	702	809	307
27	40	389	307	532	399
28	37	575	814	472	564
29	164	646	454	672	582
30	77	341	450	659	746
31	179	464	778	283	311
32	71	634	548	490	515
33	53	314	512	760	628
34	250	535	642	408	389
35	255	786	302	728	677
36	89	426	736	518	780
37	259	329	422	506	331
38	241	481	746	651	359
39	252	338	310	598	679
40	106	546	650	622	600
41	111	628	756	560	637
42	166	497	592	770	742
43	74	768	540	523	683
44	76	516	770	431	322
45	245	359	655	578	418
46	207	783	377	443	513
47	8	414	564	796	495
48	247	758	585	308	663
49	42	512	285	684	353
50	205	480	297	712	583
51	165	485	567	289	543
52	33	711	346	682	463
53	54	505	447	605	334
54	213	607	581	613	507
55	177	621	550	614	284
56	2	560	391	632	593
57	70	539	478	563	642
58	215	620	425	309	496
59	56	538	442	274	631
60	94	799	641	521	376
61	206	730	633	301	709
62	183	567	605	719	784
63	109	591	348	633	419
64	116	277	723	377	750
65	203	717	526	797	324
66	57	318	294	461	555
67	198	432	360	611	375
68	105	727	371	450	721
69	268	774	444	295	362
70	82	571	405	665	574
71	194	615	653	463	648
72	98	478	402	459	776
73	222	690	453	511	450
74	221	342	286	800	422
75	234	764	577	813	748
76	186	583	289	720	442
77	214	638	681	358	741
78	135	805	439	390	337
79	122	378	429	510	485
80	24	348	803	723	747
81	130	440	340	515	546
82	172	418	347	743	276
83	75	466	805	542	706
84	149	334	488	785	465
85	138	413	293	673	797
86	210	441	613	546	604
87	218	371	278	661	352
88	243	368	543	676	502
89	100	661	587	708	576
90	48	722	786	694	520
91	127	662	743	582	373
92	236	448	812	398	479
93	10	395	376	489	711
94	254	597	523	781	778
95	108	276	481	502	397
96	28	663	511	551	599
97	251	595	421	701	636
98	121	376	451	715	329
99	5	673	359	347	693
100	191	374	462	292	754
101	73	514	768	810	622
102	133	603	372	561	707
103	160	806	352	754	429
104	244	345	490	612	474
105	86	296	426	655	522
106	91	400	790	569	383
107	20	316	532	354	641
108	158	672	525	410	786
109	157	779	496	384	649
110	69	523	326	501	700
111	124	616	745	438	602
112	128	383	643	549	426
113	197	525	554	368	296
114	62	361	595	691	811
115	266	570	537	721	586
116	176	438	692	394	674
117	83	350	408	462	516
118	85	313	273	783	459
119	23	453	794	620	365
120	220	556	717	336	675
121	208	382	624	752	597
122	11	562	670	636	616
123	132	656	572	615	733
124	67	290	533	804	440
125	253	327	632	341	535
126	192	282	315	449	626
127	101	666	403	787	469
128	34	619	776	465	401
129	22	682	339	294	589
130	72	676	563	435	510
131	169	590	492	379	431
132	156	629	314	344	318
133	29	709	744	335	704
134	230	502	793	557	743
135	269	606	275	519	370
136	125	427	456	574	290
137	265	761	457	671	453
138	79	322	586	571	688
139	202	665	610	650	475
140	181	639	684	670	714
141	226	691	589	554	347
142	180	781	608	493	692
143	184	789	636	376	458
144	261	392	802	630	755
145	110	750	344	447	680
146	185	530	547	619	328
147	146	331	458	652	577
148	59	455	468	717	355
149	17	716	565	528	684
150	36	659	629	806	665
151	195	598	616	455	437
152	225	344	311	287	590
153	246	447	298	664	387
154	134	528	409	641	382
155	193	484	322	525	341
156	114	406	722	291	803
157	235	325	507	693	363
158	174	352	379	742	478
159	90	522	395	277	710
160	162	657	484	730	713
161	237	776	673	364	408
162	1	422	552	339	774
163	144	653	524	482	779
164	14	366	404	492	607
165	136	718	353	747	487
166	264	747	714	565	538
167	3	741	435	374	610
168	170	637	366	714	454
169	50	726	644	458	781
170	148	798	489	604	323
171	212	470	598	640	291
172	6	686	669	553	394
173	52	355	772	700	344
174	217	622	292	552	327
175	263	524	549	307	491
176	145	551	716	656	760
177	152	487	559	653	497
178	240	309	691	756	745
179	88	279	557	547	295
180	154	326	607	516	563
181	167	287	303	795	724
182	49	328	593	331	806
183	272	444	493	315	591
184	137	379	816	273	552
185	66	693	522	540	438
186	161	491	725	657	412
187	81	785	301	400	390
188	126	654	397	638	411
189	150	611	385	805	605
190	199	321	515	282	613
191	60	499	504	634	312
192	38	809	502	279	444
193	61	283	734	369	368
194	58	596	614	386	728
195	131	362	731	695	517
196	39	669	446	436	795
197	51	604	765	538	568
198	115	752	741	704	273
199	204	640	335	392	559
200	18	572	729	768	410
201	151	743	308	420	518
202	47	515	640	444	377
203	260	369	287	626	611
204	118	381	671	709	446
205	227	729	460	508	378
206	189	715	813	290	282
207	113	469	757	466	505
208	13	482	317	593	809
209	173	489	597	470	668
210	27	476	295	426	777
211	45	769	463	456	726
212	271	461	810	524	698
